record_id,gt_coarse_class,baseline_pred,candidate_pred,baseline_correct,candidate_correct,category,candidate_matched_pred,candidate_match_iou,candidate_good_crop,candidate_error_bucket
val_img10_ann1041,defect_flashover,defect_flashover,defect_flashover,True,True,both_correct,val_img5_pred10,0.882822100803888,True,correct_pipeline_hit
val_img10_ann1042,insulator_ok,unknown,defect_flashover,False,False,both_wrong,val_img5_pred9,0.9392756579106023,True,vlm_error_on_good_pred_crop
val_img10_ann1043,insulator_ok,defect_flashover,insulator_ok,False,True,helped,val_img5_pred3,0.9301868926532739,True,correct_pipeline_hit
val_img10_ann1044,insulator_ok,defect_flashover,insulator_ok,False,True,helped,val_img5_pred1,0.9448785319412244,True,correct_pipeline_hit
val_img17_ann1045,insulator_ok,insulator_ok,defect_flashover,True,False,hurt,val_img6_pred1,0.9253269701901439,True,vlm_error_on_good_pred_crop
val_img17_ann1046,insulator_ok,defect_flashover,defect_flashover,False,False,both_wrong,val_img6_pred5,0.9094938053377164,True,vlm_error_on_good_pred_crop
val_img17_ann1047,insulator_ok,insulator_ok,defect_flashover,True,False,hurt,val_img6_pred10,0.8827395832307318,True,vlm_error_on_good_pred_crop
val_img17_ann1048,insulator_ok,insulator_ok,defect_flashover,True,False,hurt,val_img6_pred21,0.8783253803887184,True,vlm_error_on_good_pred_crop
val_img17_ann1049,defect_flashover,defect_flashover,defect_flashover,True,True,both_correct,val_img6_pred15,0.8805287743335943,True,correct_pipeline_hit
val_img17_ann1050,defect_flashover,insulator_ok,defect_flashover,False,True,helped,val_img6_pred33,0.8134621593461339,True,correct_pipeline_hit
val_img17_ann1051,defect_flashover,defect_broken,defect_flashover,False,True,helped,val_img6_pred32,0.9057662855412062,True,correct_pipeline_hit
val_img17_ann1052,defect_flashover,insulator_ok,defect_flashover,False,True,helped,val_img6_pred46,0.8504552425931559,True,correct_pipeline_hit
val_img17_ann1053,defect_flashover,insulator_ok,defect_flashover,False,True,helped,val_img6_pred18,0.8910286013099623,True,correct_pipeline_hit
val_img17_ann1054,defect_flashover,defect_flashover,defect_flashover,True,True,both_correct,val_img6_pred25,0.965811487064516,True,correct_pipeline_hit
val_img17_ann1055,defect_flashover,insulator_ok,defect_flashover,False,True,helped,val_img6_pred24,0.9199423876482695,True,correct_pipeline_hit
val_img17_ann1056,defect_flashover,defect_flashover,defect_flashover,True,True,both_correct,val_img6_pred4,0.8915066582763721,True,correct_pipeline_hit
val_img17_ann1057,insulator_ok,insulator_ok,defect_flashover,True,False,hurt,val_img6_pred8,0.8215111452185622,True,vlm_error_on_good_pred_crop
val_img17_ann1058,insulator_ok,insulator_ok,defect_flashover,True,False,hurt,val_img6_pred14,0.9329698115323837,True,vlm_error_on_good_pred_crop
val_img17_ann1059,defect_flashover,defect_broken,defect_flashover,False,True,helped,val_img6_pred11,0.90849968739652,True,correct_pipeline_hit
val_img31_ann1060,insulator_ok,insulator_ok,insulator_ok,True,True,both_correct,val_img7_pred3,0.95658884409044,True,correct_pipeline_hit
val_img31_ann1061,defect_broken,defect_flashover,insulator_ok,False,False,both_wrong,val_img7_pred7,0.9640524139695807,True,vlm_error_on_good_pred_crop
val_img31_ann1062,insulator_ok,insulator_ok,insulator_ok,True,True,both_correct,val_img7_pred1,0.9150725437330623,True,correct_pipeline_hit
val_img31_ann1063,insulator_ok,unknown,insulator_ok,False,True,helped,val_img7_pred4,0.9377457851204901,True,correct_pipeline_hit
val_img31_ann1064,insulator_ok,,,False,False,both_wrong,val_img7_pred6,0.6785710872169971,False,bad_crop_from_detector
val_img33_ann1065,insulator_ok,insulator_ok,insulator_ok,True,True,both_correct,val_img8_pred43,0.9577128297726569,True,correct_pipeline_hit
val_img33_ann1066,insulator_ok,defect_flashover,defect_flashover,False,False,both_wrong,val_img8_pred8,0.9535746946763332,True,vlm_error_on_good_pred_crop
val_img33_ann1067,insulator_ok,defect_flashover,insulator_ok,False,True,helped,val_img8_pred11,0.8844980433978257,True,correct_pipeline_hit
val_img33_ann1068,defect_flashover,defect_flashover,insulator_ok,True,False,hurt,val_img8_pred44,0.9058822150556282,True,vlm_error_on_good_pred_crop
val_img33_ann1069,defect_flashover,defect_broken,defect_flashover,False,True,helped,val_img8_pred15,0.9768079942147687,True,correct_pipeline_hit
val_img33_ann1070,defect_flashover,defect_flashover,defect_flashover,True,True,both_correct,val_img8_pred1,0.8562285422793802,True,correct_pipeline_hit
val_img33_ann1071,insulator_ok,defect_broken,insulator_ok,False,True,helped,val_img8_pred2,0.9708871104081882,True,correct_pipeline_hit
val_img33_ann1072,defect_flashover,defect_flashover,defect_flashover,True,True,both_correct,val_img8_pred14,0.9009113021848476,True,correct_pipeline_hit
val_img33_ann1073,insulator_ok,defect_flashover,insulator_ok,False,True,helped,val_img8_pred4,0.9464292387103848,True,correct_pipeline_hit
val_img33_ann1074,insulator_ok,defect_flashover,insulator_ok,False,True,helped,val_img8_pred10,0.8933017695865094,True,correct_pipeline_hit
val_img33_ann1075,insulator_ok,defect_broken,defect_flashover,False,False,both_wrong,val_img8_pred7,0.9669013617010576,True,vlm_error_on_good_pred_crop
val_img33_ann1076,insulator_ok,defect_flashover,defect_flashover,False,False,both_wrong,val_img8_pred6,0.9604446214704545,True,vlm_error_on_good_pred_crop
val_img9_ann1037,insulator_ok,defect_flashover,insulator_ok,False,True,helped,val_img4_pred1,0.8966551844762687,True,correct_pipeline_hit
val_img9_ann1038,defect_flashover,defect_flashover,defect_broken,True,False,hurt,val_img4_pred2,0.9047838059383981,True,vlm_error_on_good_pred_crop
